Year,Frequency of observation,Reporting type,SDG Series,Справочная зона (условная зона),Unit of measure,Value
2013,Annual,National,Share of employed in small enterprises in total employment,Kyrgyzstan,Процент,2.3
2014,Annual,National,Share of employed in small enterprises in total employment,Kyrgyzstan,Процент,2.3
2015,Annual,National,Share of employed in small enterprises in total employment,Kyrgyzstan,Процент,2.2
2016,Annual,National,Share of employed in small enterprises in total employment,Kyrgyzstan,Процент,2.2
2017,Annual,National,Share of employed in small enterprises in total employment,Kyrgyzstan,Процент,2.3
2018,Annual,National,Share of employed in small enterprises in total employment,Kyrgyzstan,Процент,2.2
2013,Annual,National,Share of employed in medium enterprises in total employment,Kyrgyzstan,Процент,1.6
2014,Annual,National,Share of employed in medium enterprises in total employment,Kyrgyzstan,Процент,1.6
2015,Annual,National,Share of employed in medium enterprises in total employment,Kyrgyzstan,Процент,1.5
2016,Annual,National,Share of employed in medium enterprises in total employment,Kyrgyzstan,Процент,1.5
2017,Annual,National,Share of employed in medium enterprises in total employment,Kyrgyzstan,Процент,1.5
2018,Annual,National,Share of employed in medium enterprises in total employment,Kyrgyzstan,Процент,1.4
