Year,Частота наблюдений,Тип отчетности,Series,Территория,Составная разбивка,Units,Value
2014,Годовая,Национальный,_L_KG_040B01_1,Киргизия,Страна: Российская Федерация,NUMBER,465
2015,Годовая,Национальный,_L_KG_040B01_1,Киргизия,Страна: Российская Федерация,NUMBER,445
2016,Годовая,Национальный,_L_KG_040B01_1,Киргизия,Страна: Российская Федерация,NUMBER,360
2017,Годовая,Национальный,_L_KG_040B01_1,Киргизия,Страна: Российская Федерация,NUMBER,364
2018,Годовая,Национальный,_L_KG_040B01_1,Киргизия,Страна: Российская Федерация,NUMBER,347
2019,Годовая,Национальный,_L_KG_040B01_1,Киргизия,Страна: Российская Федерация,NUMBER,330
2014,Годовая,Национальный,_L_KG_040B01_1,Киргизия,Страна: Республика Беларусь,NUMBER,3
2015,Годовая,Национальный,_L_KG_040B01_1,Киргизия,Страна: Республика Беларусь,NUMBER,5
2016,Годовая,Национальный,_L_KG_040B01_1,Киргизия,Страна: Республика Беларусь,NUMBER,2
2017,Годовая,Национальный,_L_KG_040B01_1,Киргизия,Страна: Республика Беларусь,NUMBER,5
2018,Годовая,Национальный,_L_KG_040B01_1,Киргизия,Страна: Республика Беларусь,NUMBER,2
2014,Годовая,Национальный,_L_KG_040B01_1,Киргизия,Страна: Республика Казахстан,NUMBER,1
2015,Годовая,Национальный,_L_KG_040B01_1,Киргизия,Страна: Республика Казахстан,NUMBER,5
2016,Годовая,Национальный,_L_KG_040B01_1,Киргизия,Страна: Республика Казахстан,NUMBER,5
2017,Годовая,Национальный,_L_KG_040B01_1,Киргизия,Страна: Республика Казахстан,NUMBER,5
2018,Годовая,Национальный,_L_KG_040B01_1,Киргизия,Страна: Республика Казахстан,NUMBER,5
2019,Годовая,Национальный,_L_KG_040B01_1,Киргизия,Страна: Республика Казахстан,NUMBER,3
2014,Годовая,Национальный,_L_KG_040B01_1,Киргизия,Страна: Республика Таджикистан,NUMBER,50
2015,Годовая,Национальный,_L_KG_040B01_1,Киргизия,Страна: Республика Таджикистан,NUMBER,47
2016,Годовая,Национальный,_L_KG_040B01_1,Киргизия,Страна: Республика Таджикистан,NUMBER,44
2017,Годовая,Национальный,_L_KG_040B01_1,Киргизия,Страна: Республика Таджикистан,NUMBER,21
2018,Годовая,Национальный,_L_KG_040B01_1,Киргизия,Страна: Республика Таджикистан,NUMBER,33
2014,Годовая,Национальный,_L_KG_040B01_1,Киргизия,Страна: Китайская Народная Республика,NUMBER,0
2015,Годовая,Национальный,_L_KG_040B01_1,Киргизия,Страна: Китайская Народная Республика,NUMBER,0
2016,Годовая,Национальный,_L_KG_040B01_1,Киргизия,Страна: Китайская Народная Республика,NUMBER,0
2017,Годовая,Национальный,_L_KG_040B01_1,Киргизия,Страна: Китайская Народная Республика,NUMBER,25
2018,Годовая,Национальный,_L_KG_040B01_1,Киргизия,Страна: Китайская Народная Республика,NUMBER,15
2019,Годовая,Национальный,_L_KG_040B01_1,Киргизия,Страна: Китайская Народная Республика,NUMBER,27
2014,Годовая,Национальный,_L_KG_040B01_1,Киргизия,Страна: Венгрия,NUMBER,0
2015,Годовая,Национальный,_L_KG_040B01_1,Киргизия,Страна: Венгрия,NUMBER,0
2016,Годовая,Национальный,_L_KG_040B01_1,Киргизия,Страна: Венгрия,NUMBER,0
2017,Годовая,Национальный,_L_KG_040B01_1,Киргизия,Страна: Венгрия,NUMBER,23
2018,Годовая,Национальный,_L_KG_040B01_1,Киргизия,Страна: Венгрия,NUMBER,27
2019,Годовая,Национальный,_L_KG_040B01_1,Киргизия,Страна: Венгрия,NUMBER,67
