Year,Frequency of observation,Reporting type,Series,Справочная зона (условная зона),Возраст,Units,Value
2007,Annual,National,Under-five mortality rate,Kyrgyzstan,до 5 лет,"Per 1,000 live births",35.3
2008,Annual,National,Under-five mortality rate,Kyrgyzstan,до 5 лет,"Per 1,000 live births",31.5
2009,Annual,National,Under-five mortality rate,Kyrgyzstan,до 5 лет,"Per 1,000 live births",29.3
2010,Annual,National,Under-five mortality rate,Kyrgyzstan,до 5 лет,"Per 1,000 live births",26.5
2011,Annual,National,Under-five mortality rate,Kyrgyzstan,до 5 лет,"Per 1,000 live births",24.5
2012,Annual,National,Under-five mortality rate,Kyrgyzstan,до 5 лет,"Per 1,000 live births",23.4
2013,Annual,National,Under-five mortality rate,Kyrgyzstan,до 5 лет,"Per 1,000 live births",23.29
2014,Annual,National,Under-five mortality rate,Kyrgyzstan,до 5 лет,"Per 1,000 live births",23.14
2015,Annual,National,Under-five mortality rate,Kyrgyzstan,до 5 лет,"Per 1,000 live births",21.46
2016,Annual,National,Under-five mortality rate,Kyrgyzstan,до 5 лет,"Per 1,000 live births",19.8
2017,Annual,National,Under-five mortality rate,Kyrgyzstan,до 5 лет,"Per 1,000 live births",18.5
2018,Annual,National,Under-five mortality rate,Kyrgyzstan,до 5 лет,"Per 1,000 live births",17.6
2007,Annual,National,Under-five mortality rate,Баткенская область,до 5 лет,"Per 1,000 live births",40.3
2008,Annual,National,Under-five mortality rate,Баткенская область,до 5 лет,"Per 1,000 live births",39.7
2009,Annual,National,Under-five mortality rate,Баткенская область,до 5 лет,"Per 1,000 live births",33.7
2010,Annual,National,Under-five mortality rate,Баткенская область,до 5 лет,"Per 1,000 live births",34.34
2011,Annual,National,Under-five mortality rate,Баткенская область,до 5 лет,"Per 1,000 live births",28.7
2012,Annual,National,Under-five mortality rate,Баткенская область,до 5 лет,"Per 1,000 live births",25.9
2013,Annual,National,Under-five mortality rate,Баткенская область,до 5 лет,"Per 1,000 live births",25.75
2014,Annual,National,Under-five mortality rate,Баткенская область,до 5 лет,"Per 1,000 live births",23.61
2015,Annual,National,Under-five mortality rate,Баткенская область,до 5 лет,"Per 1,000 live births",21.75
2016,Annual,National,Under-five mortality rate,Баткенская область,до 5 лет,"Per 1,000 live births",18.8
2017,Annual,National,Under-five mortality rate,Баткенская область,до 5 лет,"Per 1,000 live births",18.6
2018,Annual,National,Under-five mortality rate,Баткенская область,до 5 лет,"Per 1,000 live births",14.9
2007,Annual,National,Under-five mortality rate,Жалал-Абад область,до 5 лет,"Per 1,000 live births",30.8
2008,Annual,National,Under-five mortality rate,Жалал-Абад область,до 5 лет,"Per 1,000 live births",26.2
2009,Annual,National,Under-five mortality rate,Жалал-Абад область,до 5 лет,"Per 1,000 live births",24.5
2010,Annual,National,Under-five mortality rate,Жалал-Абад область,до 5 лет,"Per 1,000 live births",21.87
2011,Annual,National,Under-five mortality rate,Жалал-Абад область,до 5 лет,"Per 1,000 live births",20.7
2012,Annual,National,Under-five mortality rate,Жалал-Абад область,до 5 лет,"Per 1,000 live births",19.8
2013,Annual,National,Under-five mortality rate,Жалал-Абад область,до 5 лет,"Per 1,000 live births",20.95
2014,Annual,National,Under-five mortality rate,Жалал-Абад область,до 5 лет,"Per 1,000 live births",21.88
2015,Annual,National,Under-five mortality rate,Жалал-Абад область,до 5 лет,"Per 1,000 live births",21.1
2016,Annual,National,Under-five mortality rate,Жалал-Абад область,до 5 лет,"Per 1,000 live births",19.75
2017,Annual,National,Under-five mortality rate,Жалал-Абад область,до 5 лет,"Per 1,000 live births",17.2
2018,Annual,National,Under-five mortality rate,Жалал-Абад область,до 5 лет,"Per 1,000 live births",15.7
2007,Annual,National,Under-five mortality rate,Иссык-Кульская область,до 5 лет,"Per 1,000 live births",28.9
2008,Annual,National,Under-five mortality rate,Иссык-Кульская область,до 5 лет,"Per 1,000 live births",28.0
2009,Annual,National,Under-five mortality rate,Иссык-Кульская область,до 5 лет,"Per 1,000 live births",24.9
2010,Annual,National,Under-five mortality rate,Иссык-Кульская область,до 5 лет,"Per 1,000 live births",22.32
2011,Annual,National,Under-five mortality rate,Иссык-Кульская область,до 5 лет,"Per 1,000 live births",24.8
2012,Annual,National,Under-five mortality rate,Иссык-Кульская область,до 5 лет,"Per 1,000 live births",24.0
2013,Annual,National,Under-five mortality rate,Иссык-Кульская область,до 5 лет,"Per 1,000 live births",19.47
2014,Annual,National,Under-five mortality rate,Иссык-Кульская область,до 5 лет,"Per 1,000 live births",16.9
2015,Annual,National,Under-five mortality rate,Иссык-Кульская область,до 5 лет,"Per 1,000 live births",18.76
2016,Annual,National,Under-five mortality rate,Иссык-Кульская область,до 5 лет,"Per 1,000 live births",17.8
2017,Annual,National,Under-five mortality rate,Иссык-Кульская область,до 5 лет,"Per 1,000 live births",15.2
2018,Annual,National,Under-five mortality rate,Иссык-Кульская область,до 5 лет,"Per 1,000 live births",14.3
2007,Annual,National,Under-five mortality rate,Нарынская область,до 5 лет,"Per 1,000 live births",33.9
2008,Annual,National,Under-five mortality rate,Нарынская область,до 5 лет,"Per 1,000 live births",30.1
2009,Annual,National,Under-five mortality rate,Нарынская область,до 5 лет,"Per 1,000 live births",28.0
2010,Annual,National,Under-five mortality rate,Нарынская область,до 5 лет,"Per 1,000 live births",25.0
2011,Annual,National,Under-five mortality rate,Нарынская область,до 5 лет,"Per 1,000 live births",20.1
2012,Annual,National,Under-five mortality rate,Нарынская область,до 5 лет,"Per 1,000 live births",21.7
2013,Annual,National,Under-five mortality rate,Нарынская область,до 5 лет,"Per 1,000 live births",20.2
2014,Annual,National,Under-five mortality rate,Нарынская область,до 5 лет,"Per 1,000 live births",22.58
2015,Annual,National,Under-five mortality rate,Нарынская область,до 5 лет,"Per 1,000 live births",16.77
2016,Annual,National,Under-five mortality rate,Нарынская область,до 5 лет,"Per 1,000 live births",17.9
2017,Annual,National,Under-five mortality rate,Нарынская область,до 5 лет,"Per 1,000 live births",18.2
2018,Annual,National,Under-five mortality rate,Нарынская область,до 5 лет,"Per 1,000 live births",15.1
2007,Annual,National,Under-five mortality rate,Ошская область,до 5 лет,"Per 1,000 live births",34.7
2008,Annual,National,Under-five mortality rate,Ошская область,до 5 лет,"Per 1,000 live births",29.9
2009,Annual,National,Under-five mortality rate,Ошская область,до 5 лет,"Per 1,000 live births",26.1
2010,Annual,National,Under-five mortality rate,Ошская область,до 5 лет,"Per 1,000 live births",24.14
2011,Annual,National,Under-five mortality rate,Ошская область,до 5 лет,"Per 1,000 live births",21.1
2012,Annual,National,Under-five mortality rate,Ошская область,до 5 лет,"Per 1,000 live births",19.0
2013,Annual,National,Under-five mortality rate,Ошская область,до 5 лет,"Per 1,000 live births",17.17
2014,Annual,National,Under-five mortality rate,Ошская область,до 5 лет,"Per 1,000 live births",14.96
2015,Annual,National,Under-five mortality rate,Ошская область,до 5 лет,"Per 1,000 live births",14.31
2016,Annual,National,Under-five mortality rate,Ошская область,до 5 лет,"Per 1,000 live births",12.2
2017,Annual,National,Under-five mortality rate,Ошская область,до 5 лет,"Per 1,000 live births",11.7
2018,Annual,National,Under-five mortality rate,Ошская область,до 5 лет,"Per 1,000 live births",11.0
2007,Annual,National,Under-five mortality rate,Таласская область,до 5 лет,"Per 1,000 live births",43.8
2008,Annual,National,Under-five mortality rate,Таласская область,до 5 лет,"Per 1,000 live births",38.3
2009,Annual,National,Under-five mortality rate,Таласская область,до 5 лет,"Per 1,000 live births",39.0
2010,Annual,National,Under-five mortality rate,Таласская область,до 5 лет,"Per 1,000 live births",29.52
2011,Annual,National,Under-five mortality rate,Таласская область,до 5 лет,"Per 1,000 live births",27.7
2012,Annual,National,Under-five mortality rate,Таласская область,до 5 лет,"Per 1,000 live births",22.9
2013,Annual,National,Under-five mortality rate,Таласская область,до 5 лет,"Per 1,000 live births",26.52
2014,Annual,National,Under-five mortality rate,Таласская область,до 5 лет,"Per 1,000 live births",24.14
2015,Annual,National,Under-five mortality rate,Таласская область,до 5 лет,"Per 1,000 live births",17.77
2016,Annual,National,Under-five mortality rate,Таласская область,до 5 лет,"Per 1,000 live births",19.7
2017,Annual,National,Under-five mortality rate,Таласская область,до 5 лет,"Per 1,000 live births",17.1
2018,Annual,National,Under-five mortality rate,Таласская область,до 5 лет,"Per 1,000 live births",22.8
2007,Annual,National,Under-five mortality rate,Чуйская область,до 5 лет,"Per 1,000 live births",31.6
2008,Annual,National,Under-five mortality rate,Чуйская область,до 5 лет,"Per 1,000 live births",27.4
2009,Annual,National,Under-five mortality rate,Чуйская область,до 5 лет,"Per 1,000 live births",25.1
2010,Annual,National,Under-five mortality rate,Чуйская область,до 5 лет,"Per 1,000 live births",24.2
2011,Annual,National,Under-five mortality rate,Чуйская область,до 5 лет,"Per 1,000 live births",22.6
2012,Annual,National,Under-five mortality rate,Чуйская область,до 5 лет,"Per 1,000 live births",20.8
2013,Annual,National,Under-five mortality rate,Чуйская область,до 5 лет,"Per 1,000 live births",21.22
2014,Annual,National,Under-five mortality rate,Чуйская область,до 5 лет,"Per 1,000 live births",18.55
2015,Annual,National,Under-five mortality rate,Чуйская область,до 5 лет,"Per 1,000 live births",17.08
2016,Annual,National,Under-five mortality rate,Чуйская область,до 5 лет,"Per 1,000 live births",16.45
2017,Annual,National,Under-five mortality rate,Чуйская область,до 5 лет,"Per 1,000 live births",12.9
2018,Annual,National,Under-five mortality rate,Чуйская область,до 5 лет,"Per 1,000 live births",12.7
2007,Annual,National,Under-five mortality rate,г. Бишкек,до 5 лет,"Per 1,000 live births",36.3
2008,Annual,National,Under-five mortality rate,г. Бишкек,до 5 лет,"Per 1,000 live births",34.6
2009,Annual,National,Under-five mortality rate,г. Бишкек,до 5 лет,"Per 1,000 live births",32.3
2010,Annual,National,Under-five mortality rate,г. Бишкек,до 5 лет,"Per 1,000 live births",28.2
2011,Annual,National,Under-five mortality rate,г. Бишкек,до 5 лет,"Per 1,000 live births",26.2
2012,Annual,National,Under-five mortality rate,г. Бишкек,до 5 лет,"Per 1,000 live births",24.8
2013,Annual,National,Under-five mortality rate,г. Бишкек,до 5 лет,"Per 1,000 live births",25.69
2014,Annual,National,Under-five mortality rate,г. Бишкек,до 5 лет,"Per 1,000 live births",28.61
2015,Annual,National,Under-five mortality rate,г. Бишкек,до 5 лет,"Per 1,000 live births",26.6
2016,Annual,National,Under-five mortality rate,г. Бишкек,до 5 лет,"Per 1,000 live births",25.7
