Year,Частота наблюдений,Тип отчетности,Series,Территория,Units,Value
2007,Годовая,Национальный,SI_COV_BENFTS,Киргизия,PT,19.5
2008,Годовая,Национальный,SI_COV_BENFTS,Киргизия,PT,18.6
2009,Годовая,Национальный,SI_COV_BENFTS,Киргизия,PT,18.6
2010,Годовая,Национальный,SI_COV_BENFTS,Киргизия,PT,18.5
2011,Годовая,Национальный,SI_COV_BENFTS,Киргизия,PT,19.0
2012,Годовая,Национальный,SI_COV_BENFTS,Киргизия,PT,18.5
2013,Годовая,Национальный,SI_COV_BENFTS,Киргизия,PT,17.9
2014,Годовая,Национальный,SI_COV_BENFTS,Киргизия,PT,17.3
2015,Годовая,Национальный,SI_COV_BENFTS,Киргизия,PT,17.1
2016,Годовая,Национальный,SI_COV_BENFTS,Киргизия,PT,16.6
2017,Годовая,Национальный,SI_COV_BENFTS,Киргизия,PT,16.8
2018,Годовая,Национальный,SI_COV_BENFTS,Киргизия,PT,16.6
2007,Годовая,Национальный,SI_COV_BENFTS,Баткенская область,PT,2.109664
2008,Годовая,Национальный,SI_COV_BENFTS,Баткенская область,PT,1.9341279999999998
2009,Годовая,Национальный,SI_COV_BENFTS,Баткенская область,PT,1.92383
2010,Годовая,Национальный,SI_COV_BENFTS,Баткенская область,PT,1.8744439999999998
2011,Годовая,Национальный,SI_COV_BENFTS,Баткенская область,PT,1.930035
2012,Годовая,Национальный,SI_COV_BENFTS,Баткенская область,PT,1.8456240000000002
2013,Годовая,Национальный,SI_COV_BENFTS,Баткенская область,PT,1.795079
2014,Годовая,Национальный,SI_COV_BENFTS,Баткенская область,PT,1.762407
2015,Годовая,Национальный,SI_COV_BENFTS,Баткенская область,PT,1.659097
2016,Годовая,Национальный,SI_COV_BENFTS,Баткенская область,PT,1.495586
2017,Годовая,Национальный,SI_COV_BENFTS,Баткенская область,PT,1.484306
2018,Годовая,Национальный,SI_COV_BENFTS,Баткенская область,PT,1.525503
2007,Годовая,Национальный,SI_COV_BENFTS,Джалал-Абадская область,PT,4.616846
2008,Годовая,Национальный,SI_COV_BENFTS,Джалал-Абадская область,PT,4.193013
2009,Годовая,Национальный,SI_COV_BENFTS,Джалал-Абадская область,PT,4.11681
2010,Годовая,Национальный,SI_COV_BENFTS,Джалал-Абадская область,PT,4.091247
2011,Годовая,Национальный,SI_COV_BENFTS,Джалал-Абадская область,PT,4.27976
2012,Годовая,Национальный,SI_COV_BENFTS,Джалал-Абадская область,PT,4.13553
2013,Годовая,Национальный,SI_COV_BENFTS,Джалал-Абадская область,PT,4.101223
2014,Годовая,Национальный,SI_COV_BENFTS,Джалал-Абадская область,PT,3.951307
2015,Годовая,Национальный,SI_COV_BENFTS,Джалал-Абадская область,PT,3.8641379999999996
2016,Годовая,Национальный,SI_COV_BENFTS,Джалал-Абадская область,PT,3.7465230000000003
2017,Годовая,Национальный,SI_COV_BENFTS,Джалал-Абадская область,PT,3.7927160000000004
2018,Годовая,Национальный,SI_COV_BENFTS,Джалал-Абадская область,PT,3.8041160000000005
2007,Годовая,Национальный,SI_COV_BENFTS,Иссык-Кульская область,PT,1.5049270000000001
2008,Годовая,Национальный,SI_COV_BENFTS,Иссык-Кульская область,PT,1.39314
2009,Годовая,Национальный,SI_COV_BENFTS,Иссык-Кульская область,PT,1.390619
2010,Годовая,Национальный,SI_COV_BENFTS,Иссык-Кульская область,PT,1.4328299999999998
2011,Годовая,Национальный,SI_COV_BENFTS,Иссык-Кульская область,PT,1.496891
2012,Годовая,Национальный,SI_COV_BENFTS,Иссык-Кульская область,PT,1.460728
2013,Годовая,Национальный,SI_COV_BENFTS,Иссык-Кульская область,PT,1.4106809999999999
2014,Годовая,Национальный,SI_COV_BENFTS,Иссык-Кульская область,PT,1.3973389999999999
2015,Годовая,Национальный,SI_COV_BENFTS,Иссык-Кульская область,PT,1.3666129999999999
2016,Годовая,Национальный,SI_COV_BENFTS,Иссык-Кульская область,PT,1.391437
2017,Годовая,Национальный,SI_COV_BENFTS,Иссык-Кульская область,PT,1.400236
2018,Годовая,Национальный,SI_COV_BENFTS,Иссык-Кульская область,PT,1.390469
2007,Годовая,Национальный,SI_COV_BENFTS,Нарынская область,PT,1.671366
2008,Годовая,Национальный,SI_COV_BENFTS,Нарынская область,PT,1.457214
2009,Годовая,Национальный,SI_COV_BENFTS,Нарынская область,PT,1.423568
2010,Годовая,Национальный,SI_COV_BENFTS,Нарынская область,PT,1.503572
2011,Годовая,Национальный,SI_COV_BENFTS,Нарынская область,PT,1.575064
2012,Годовая,Национальный,SI_COV_BENFTS,Нарынская область,PT,1.53011
2013,Годовая,Национальный,SI_COV_BENFTS,Нарынская область,PT,1.430693
2014,Годовая,Национальный,SI_COV_BENFTS,Нарынская область,PT,1.366601
2015,Годовая,Национальный,SI_COV_BENFTS,Нарынская область,PT,1.342043
2016,Годовая,Национальный,SI_COV_BENFTS,Нарынская область,PT,1.284926
2017,Годовая,Национальный,SI_COV_BENFTS,Нарынская область,PT,1.2882930000000001
2018,Годовая,Национальный,SI_COV_BENFTS,Нарынская область,PT,1.232146
2007,Годовая,Национальный,SI_COV_BENFTS,Ошская область,PT,4.940158
2008,Годовая,Национальный,SI_COV_BENFTS,Ошская область,PT,4.693844
2009,Годовая,Национальный,SI_COV_BENFTS,Ошская область,PT,4.778368
2010,Годовая,Национальный,SI_COV_BENFTS,Ошская область,PT,4.700996
2011,Годовая,Национальный,SI_COV_BENFTS,Ошская область,PT,4.715643
2012,Годовая,Национальный,SI_COV_BENFTS,Ошская область,PT,4.506557
2013,Годовая,Национальный,SI_COV_BENFTS,Ошская область,PT,4.296044
2014,Годовая,Национальный,SI_COV_BENFTS,Ошская область,PT,4.013868
2015,Годовая,Национальный,SI_COV_BENFTS,Ошская область,PT,4.015779
2016,Годовая,Национальный,SI_COV_BENFTS,Ошская область,PT,3.788525
2017,Годовая,Национальный,SI_COV_BENFTS,Ошская область,PT,3.868011
2018,Годовая,Национальный,SI_COV_BENFTS,Ошская область,PT,3.639299
2007,Годовая,Национальный,SI_COV_BENFTS,Таласская область,PT,0.73051
2008,Годовая,Национальный,SI_COV_BENFTS,Таласская область,PT,0.843038
2009,Годовая,Национальный,SI_COV_BENFTS,Таласская область,PT,0.8163279999999999
2010,Годовая,Национальный,SI_COV_BENFTS,Таласская область,PT,0.784158
2011,Годовая,Национальный,SI_COV_BENFTS,Таласская область,PT,0.8255049999999999
2012,Годовая,Национальный,SI_COV_BENFTS,Таласская область,PT,0.806951
2013,Годовая,Национальный,SI_COV_BENFTS,Таласская область,PT,0.784064
2014,Годовая,Национальный,SI_COV_BENFTS,Таласская область,PT,0.7721720000000001
2015,Годовая,Национальный,SI_COV_BENFTS,Таласская область,PT,0.795667
2016,Годовая,Национальный,SI_COV_BENFTS,Таласская область,PT,0.823182
2017,Годовая,Национальный,SI_COV_BENFTS,Таласская область,PT,0.8582280000000001
2018,Годовая,Национальный,SI_COV_BENFTS,Таласская область,PT,0.833649
2007,Годовая,Национальный,SI_COV_BENFTS,Чуйская область,PT,1.9582990000000002
2008,Годовая,Национальный,SI_COV_BENFTS,Чуйская область,PT,1.9942509999999998
2009,Годовая,Национальный,SI_COV_BENFTS,Чуйская область,PT,1.9394369999999999
2010,Годовая,Национальный,SI_COV_BENFTS,Чуйская область,PT,1.9224849999999998
2011,Годовая,Национальный,SI_COV_BENFTS,Чуйская область,PT,1.949861
2012,Годовая,Национальный,SI_COV_BENFTS,Чуйская область,PT,1.969888
2013,Годовая,Национальный,SI_COV_BENFTS,Чуйская область,PT,1.9161540000000001
2014,Годовая,Национальный,SI_COV_BENFTS,Чуйская область,PT,1.902321
2015,Годовая,Национальный,SI_COV_BENFTS,Чуйская область,PT,1.9056959999999998
2016,Годовая,Национальный,SI_COV_BENFTS,Чуйская область,PT,1.915556
2017,Годовая,Национальный,SI_COV_BENFTS,Чуйская область,PT,1.9093200000000001
2018,Годовая,Национальный,SI_COV_BENFTS,Чуйская область,PT,1.9317
2007,Годовая,Национальный,SI_COV_BENFTS,г. Бишкек,PT,1.509824
2008,Годовая,Национальный,SI_COV_BENFTS,г. Бишкек,PT,1.7903830000000003
2009,Годовая,Национальный,SI_COV_BENFTS,г. Бишкек,PT,1.7625520000000001
2010,Годовая,Национальный,SI_COV_BENFTS,г. Бишкек,PT,1.7552740000000002
2011,Годовая,Национальный,SI_COV_BENFTS,г. Бишкек,PT,1.761641
2012,Годовая,Национальный,SI_COV_BENFTS,г. Бишкек,PT,1.7988119999999999
2013,Годовая,Национальный,SI_COV_BENFTS,г. Бишкек,PT,1.7537740000000002
2014,Годовая,Национальный,SI_COV_BENFTS,г. Бишкек,PT,1.74105
2015,Годовая,Национальный,SI_COV_BENFTS,г. Бишкек,PT,1.736014
2016,Годовая,Национальный,SI_COV_BENFTS,г. Бишкек,PT,1.742989
2017,Годовая,Национальный,SI_COV_BENFTS,г. Бишкек,PT,1.7667380000000001
2018,Годовая,Национальный,SI_COV_BENFTS,г. Бишкек,PT,1.7700599999999997
2007,Годовая,Национальный,SI_COV_BENFTS,г. Ош,PT,0.49289499999999997
2008,Годовая,Национальный,SI_COV_BENFTS,г. Ош,PT,0.48253
2009,Годовая,Национальный,SI_COV_BENFTS,г. Ош,PT,0.46367600000000003
2010,Годовая,Национальный,SI_COV_BENFTS,г. Ош,PT,0.473654
2011,Годовая,Национальный,SI_COV_BENFTS,г. Ош,PT,0.470606
2012,Годовая,Национальный,SI_COV_BENFTS,г. Ош,PT,0.46085200000000004
2013,Годовая,Национальный,SI_COV_BENFTS,г. Ош,PT,0.454024
2014,Годовая,Национальный,SI_COV_BENFTS,г. Ош,PT,0.45231099999999996
2015,Годовая,Национальный,SI_COV_BENFTS,г. Ош,PT,0.452797
2016,Годовая,Национальный,SI_COV_BENFTS,г. Ош,PT,0.445767
2017,Годовая,Национальный,SI_COV_BENFTS,г. Ош,PT,0.44659099999999996
2018,Годовая,Национальный,SI_COV_BENFTS,г. Ош,PT,0.455388
