Year,Статус наблюдения,Множитель,Характер данных,Частота наблюдений,Тип отчетности,Series,Территория,Units,Value
2008,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_100501_11,,PT,29.2
2009,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_100501_11,,PT,36.6
2010,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_100501_11,,PT,27.6
2011,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_100501_11,,PT,23.6
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_100501_11,,PT,28.2
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_100501_11,,PT,31.3
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_100501_11,,PT,34.3
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_100501_11,,PT,41.4
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_100501_11,,PT,37.4
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_100501_11,,PT,37.3
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_100501_11,,PT,39.8
2007,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_100501_12,,PT,16.5
2008,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_100501_12,,PT,15.7
2009,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_100501_12,,PT,19.7
2010,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_100501_12,,PT,15.5
2011,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_100501_12,,PT,13.5
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_100501_12,,PT,16.3
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_100501_12,,PT,19.0
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_100501_12,,PT,20.6
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_100501_12,,PT,23.9
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_100501_12,,PT,22.5
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_100501_12,,PT,22.9
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_100501_12,,PT,23.9
2007,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_100501_13,,PT,14.7
2008,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_100501_13,,PT,13.6
2009,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_100501_13,,PT,12.5
2010,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_100501_13,,PT,12.0
2011,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_100501_13,,PT,10.9
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_100501_13,,PT,12.9
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_100501_13,,PT,15.2
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_100501_13,,PT,19.7
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_100501_13,,PT,21.8
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_100501_13,,PT,19.6
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_100501_13,,PT,20.4
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_100501_13,,PT,23.0
