Year,FREQ,REPORTING_TYPE,Series,REF_AREA,URBANISATION,Units,Value
2011,A,N,SH_H2O_SAFE,KG,,PT,92.4
2012,A,N,SH_H2O_SAFE,KG,,PT,93.2
2013,A,N,SH_H2O_SAFE,KG,,PT,89.6
2014,A,N,SH_H2O_SAFE,KG,,PT,88.9
2015,A,N,SH_H2O_SAFE,KG,,PT,89.1
2016,A,N,SH_H2O_SAFE,KG,,PT,89.9
2017,A,N,SH_H2O_SAFE,KG,,PT,91.1
2018,A,N,SH_H2O_SAFE,KG,,PT,91.8
2011,A,N,SH_H2O_SAFE,KG,U,PT,99.7
2012,A,N,SH_H2O_SAFE,KG,U,PT,99.8
2013,A,N,SH_H2O_SAFE,KG,U,PT,99.5
2014,A,N,SH_H2O_SAFE,KG,U,PT,99.1
2015,A,N,SH_H2O_SAFE,KG,U,PT,99.1
2016,A,N,SH_H2O_SAFE,KG,U,PT,99.3
2017,A,N,SH_H2O_SAFE,KG,U,PT,93.9
2018,A,N,SH_H2O_SAFE,KG,U,PT,99.3
2011,A,N,SH_H2O_SAFE,KG,R,PT,88.0
2012,A,N,SH_H2O_SAFE,KG,R,PT,89.4
2013,A,N,SH_H2O_SAFE,KG,R,PT,84.4
2014,A,N,SH_H2O_SAFE,KG,R,PT,83.3
2015,A,N,SH_H2O_SAFE,KG,R,PT,83.7
2016,A,N,SH_H2O_SAFE,KG,R,PT,84.9
2017,A,N,SH_H2O_SAFE,KG,R,PT,86.7
2018,A,N,SH_H2O_SAFE,KG,R,PT,87.8
2011,A,N,SH_H2O_SAFE,KG05,,PT,69.7
2012,A,N,SH_H2O_SAFE,KG05,,PT,70.0
2013,A,N,SH_H2O_SAFE,KG05,,PT,73.1
2014,A,N,SH_H2O_SAFE,KG05,,PT,74.3
2015,A,N,SH_H2O_SAFE,KG05,,PT,73.3
2016,A,N,SH_H2O_SAFE,KG05,,PT,74.1
2017,A,N,SH_H2O_SAFE,KG05,,PT,79.0
2018,A,N,SH_H2O_SAFE,KG05,,PT,83.6
2011,A,N,SH_H2O_SAFE,KG03,,PT,95.4
2012,A,N,SH_H2O_SAFE,KG03,,PT,96.0
2013,A,N,SH_H2O_SAFE,KG03,,PT,91.6
2014,A,N,SH_H2O_SAFE,KG03,,PT,89.5
2015,A,N,SH_H2O_SAFE,KG03,,PT,87.7
2016,A,N,SH_H2O_SAFE,KG03,,PT,87.3
2017,A,N,SH_H2O_SAFE,KG03,,PT,91.2
2018,A,N,SH_H2O_SAFE,KG03,,PT,86.4
2011,A,N,SH_H2O_SAFE,KG02,,PT,99.0
2012,A,N,SH_H2O_SAFE,KG02,,PT,99.0
2013,A,N,SH_H2O_SAFE,KG02,,PT,93.7
2014,A,N,SH_H2O_SAFE,KG02,,PT,96.8
2015,A,N,SH_H2O_SAFE,KG02,,PT,96.4
2016,A,N,SH_H2O_SAFE,KG02,,PT,97.3
2017,A,N,SH_H2O_SAFE,KG02,,PT,97.0
2018,A,N,SH_H2O_SAFE,KG02,,PT,96.0
2011,A,N,SH_H2O_SAFE,KG04,,PT,89.2
2012,A,N,SH_H2O_SAFE,KG04,,PT,89.1
2013,A,N,SH_H2O_SAFE,KG04,,PT,86.8
2014,A,N,SH_H2O_SAFE,KG04,,PT,84.4
2015,A,N,SH_H2O_SAFE,KG04,,PT,90.3
2016,A,N,SH_H2O_SAFE,KG04,,PT,95.9
2017,A,N,SH_H2O_SAFE,KG04,,PT,95.8
2018,A,N,SH_H2O_SAFE,KG04,,PT,96.3
2011,A,N,SH_H2O_SAFE,KG06,,PT,86.4
2012,A,N,SH_H2O_SAFE,KG06,,PT,88.7
2013,A,N,SH_H2O_SAFE,KG06,,PT,73.7
2014,A,N,SH_H2O_SAFE,KG06,,PT,72.9
2015,A,N,SH_H2O_SAFE,KG06,,PT,74.5
2016,A,N,SH_H2O_SAFE,KG06,,PT,76.4
