Year,FREQ,REPORTING_TYPE,Series,REF_AREA,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,Units,Value
2018,A,N,EG_EGY_CLEAN,KG,,,,PT,19.2
2018,A,N,EG_EGY_CLEAN,KG,U,,,PT,47.2
2018,A,N,EG_EGY_CLEAN,KG,R,,,PT,3.2
2018,A,N,EG_EGY_CLEAN,KG,,,ISCED11_1,PT,6.8
2018,A,N,EG_EGY_CLEAN,KG,,,ISCED11_2,PT,10.5
2018,A,N,EG_EGY_CLEAN,KG,,,ISCED11_3,PT,11.4
2018,A,N,EG_EGY_CLEAN,KG,,,ISCED11_4,PT,19.7
2018,A,N,EG_EGY_CLEAN,KG,,,ISCED11_5,PT,38.9
2018,A,N,EG_EGY_CLEAN,KG,,Q1,,PT,10.0
2018,A,N,EG_EGY_CLEAN,KG,,Q2,,PT,2.6
2018,A,N,EG_EGY_CLEAN,KG,,Q3,,PT,6.1
2018,A,N,EG_EGY_CLEAN,KG,,Q4,,PT,9.3
2018,A,N,EG_EGY_CLEAN,KG,,Q5,,PT,76.9
