Year,Frequency of observation,Reporting type,Series,Reference area,Units,Value
2013,Annual,National,Share of employed in small enterprises in total employment,Kyrgyzstan,Percent,2.3
2014,Annual,National,Share of employed in small enterprises in total employment,Kyrgyzstan,Percent,2.3
2015,Annual,National,Share of employed in small enterprises in total employment,Kyrgyzstan,Percent,2.2
2016,Annual,National,Share of employed in small enterprises in total employment,Kyrgyzstan,Percent,2.2
2017,Annual,National,Share of employed in small enterprises in total employment,Kyrgyzstan,Percent,2.3
2018,Annual,National,Share of employed in small enterprises in total employment,Kyrgyzstan,Percent,2.2
2013,Annual,National,Share of employed in medium enterprises in total employment,Kyrgyzstan,Percent,1.6
2014,Annual,National,Share of employed in medium enterprises in total employment,Kyrgyzstan,Percent,1.6
2015,Annual,National,Share of employed in medium enterprises in total employment,Kyrgyzstan,Percent,1.5
2016,Annual,National,Share of employed in medium enterprises in total employment,Kyrgyzstan,Percent,1.5
2017,Annual,National,Share of employed in medium enterprises in total employment,Kyrgyzstan,Percent,1.5
2018,Annual,National,Share of employed in medium enterprises in total employment,Kyrgyzstan,Percent,1.4
