Year,FREQ,REPORTING_TYPE,Series,REF_AREA,Units,Value
2007,A,N,_L_KG_070301_1,KG,_L_TCE_MN_KGS,78.2
2008,A,N,_L_KG_070301_1,KG,_L_TCE_MN_KGS,54.3
2009,A,N,_L_KG_070301_1,KG,_L_TCE_MN_KGS,48.7
2010,A,N,_L_KG_070301_1,KG,_L_TCE_MN_KGS,45.5
2011,A,N,_L_KG_070301_1,KG,_L_TCE_MN_KGS,42.0
2012,A,N,_L_KG_070301_1,KG,_L_TCE_MN_KGS,35.3
2013,A,N,_L_KG_070301_1,KG,_L_TCE_MN_KGS,31.4
2014,A,N,_L_KG_070301_1,KG,_L_TCE_MN_KGS,26.1
2015,A,N,_L_KG_070301_1,KG,_L_TCE_MN_KGS,26.7
2016,A,N,_L_KG_070301_1,KG,_L_TCE_MN_KGS,22.0
2017,A,N,_L_KG_070301_1,KG,_L_TCE_MN_KGS,25.3
2018,A,N,_L_KG_070301_1,KG,_L_TCE_MN_KGS,25.5
