Year,Frequency of observation,Reporting type,Series,Reference area,Degree of urbanisation,Income or wealth quantile,Education level,Units,Value
2018,Annual,National,Proportion of population using safely managed sanitation services,Kyrgyzstan,,,,Percent,96.3
2018,Annual,National,Proportion of population using safely managed sanitation services,Kyrgyzstan,Urban,,,Percent,96.1
2018,Annual,National,Proportion of population using safely managed sanitation services,Kyrgyzstan,Rural,,,Percent,96.5
2018,Annual,National,Proportion of population using safely managed sanitation services,Batken,,,,Percent,99.6
2018,Annual,National,Proportion of population using safely managed sanitation services,Jalal-Abad,,,,Percent,93.4
2018,Annual,National,Proportion of population using safely managed sanitation services,Issyk-Kul,,,,Percent,99.1
2018,Annual,National,Proportion of population using safely managed sanitation services,Naryn,,,,Percent,99.4
2018,Annual,National,Proportion of population using safely managed sanitation services,Osh,,,,Percent,99.1
2018,Annual,National,Proportion of population using safely managed sanitation services,Talas,,,,Percent,99.8
2018,Annual,National,Proportion of population using safely managed sanitation services,Chui,,,,Percent,91.6
2018,Annual,National,Proportion of population using safely managed sanitation services,Bishkek (city),,,,Percent,95.7
2018,Annual,National,Proportion of population using safely managed sanitation services,Osh (city),,,,Percent,96.8
2018,Annual,National,Proportion of population using safely managed sanitation services,Kyrgyzstan,,,Primary education,Percent,92.1
2018,Annual,National,Proportion of population using safely managed sanitation services,Kyrgyzstan,,,Lower secondary education,Percent,94.7
2018,Annual,National,Proportion of population using safely managed sanitation services,Kyrgyzstan,,,Upper secondary education,Percent,97.4
2018,Annual,National,Proportion of population using safely managed sanitation services,Kyrgyzstan,,,Post-secondary non-tertiary education,Percent,96.6
2018,Annual,National,Proportion of population using safely managed sanitation services,Kyrgyzstan,,,Short-cycle tertiary education,Percent,95.1
2018,Annual,National,Proportion of population using safely managed sanitation services,Kyrgyzstan,,Quintile 1 (poorest),,Percent,97.2
2018,Annual,National,Proportion of population using safely managed sanitation services,Kyrgyzstan,,Quintile 2,,Percent,95.9
2018,Annual,National,Proportion of population using safely managed sanitation services,Kyrgyzstan,,Quintile 3,,Percent,96.5
2018,Annual,National,Proportion of population using safely managed sanitation services,Kyrgyzstan,,Quintile 4,,Percent,96.4
2018,Annual,National,Proportion of population using safely managed sanitation services,Kyrgyzstan,,Quintile 5 (richest),,Percent,95.7
