Year,Series,Units,Time series-level footnotes,Value
2007,NV_IND_MANF,PT,PT,9.9
2008,NV_IND_MANF,PT,PT,13.2
2009,NV_IND_MANF,PT,PT,14.2
2010,NV_IND_MANF,PT,PT,16.9
2011,NV_IND_MANF,PT,PT,18.3
2012,NV_IND_MANF,PT,PT,12.1
2013,NV_IND_MANF,PT,PT,15.8
2014,NV_IND_MANF,PT,PT,13.7
2015,NV_IND_MANF,PT,PT,14.0
2016,NV_IND_MANF,PT,PT,15.4
2017,NV_IND_MANF,PT,PT,15.0
2018,NV_IND_MANF,PT,PT,14.3
2007,NV_IND_MANFPC,CUR_LCU,CUR_LCU,2.8
2008,NV_IND_MANFPC,CUR_LCU,CUR_LCU,4.9
2009,NV_IND_MANFPC,CUR_LCU,CUR_LCU,5.6
2010,NV_IND_MANFPC,CUR_LCU,CUR_LCU,7.2
2011,NV_IND_MANFPC,CUR_LCU,CUR_LCU,9.9
2012,NV_IND_MANFPC,CUR_LCU,CUR_LCU,7.0
2013,NV_IND_MANFPC,CUR_LCU,CUR_LCU,10.3
2014,NV_IND_MANFPC,CUR_LCU,CUR_LCU,9.8
2015,NV_IND_MANFPC,CUR_LCU,CUR_LCU,10.6
2016,NV_IND_MANFPC,CUR_LCU,CUR_LCU,12.6
2017,NV_IND_MANFPC,CUR_LCU,CUR_LCU,13.4
2018,NV_IND_MANFPC,CUR_LCU,CUR_LCU,13.4
